ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
775;MONUMENTO;1;HORMIGON Y ACERO;HOMENAJE A LA DEMOCRACIA;KOSICE, GYULA;PZTA PROVINCIA DE TUCUMAN;PZTA PROVINCIA DE TUCUMAN;CERRITO Y SANTA FE AV.;CERRITO;;RETIRO;COMUNA 1;;;-34.59546241;-58.38272426
779;MONUMENTO;1;PIEDRA Y BRONCE;HOMENAJE A LOS DOS CONGRESOS;LAGAE, JULIO Y . ARQ . D HU;SOLIS 59;SOLIS 59;SOLIS Y YRIGOYEN, HIPOLITO AV.;SOLIS;;MONSERRAT;COMUNA 1;;;-34.61017307;-58.39042332
797;MONUMENTO;1;BRONCE,GRANITO Y MARMOL;GENERAL BARTOLOME MITRE;CALANDRA,D-RUBINO,E;PLAZA GENERAL BARTOLOME MITRE;PLAZA GENERAL BARTOLOME MITRE;;;;;;;;;
805;MONUMENTO;1;BRONCE Y GRANITO;GENERAL MANUEL BELGRANO;ROCHA, HECTOR;PLAZA GENERAL BELGRANO;PLAZA GENERAL BELGRANO;VUELTA DE OBLIGADO 2000;VUELTA DE OBLIGADO;2000;BELGRANO;COMUNA 13;1428;C1428ADD;-34.56248844;-58.45483961
984;MONUMENTO;1;GRANITO Y BRONCE;JUAN LARREA;DRESCO, ARTURO;PLAZA HERRERA;PLAZA HERRERA;HERRERA Y QUINQUELA MARTIN, BENITO;HERRERA;;BARRACAS;COMUNA 4;;;-34.64369063;-58.37623364
985;MONUMENTO;1;BRONCE Y MAMPOSTERIA;PAUL PIERCE HARRYS;ARGENTO, JORGE;PLAZA HOLANDA;PLAZA HOLANDA;DEL LIBERTADOR AV. 3601;DEL LIBERTADOR AV.;3601;PALERMO;COMUNA 14;1425;C1425ABJ;-34.57296046;-58.41922807
999;MONUMENTO;1;BRONCE Y GRANITO;GENERAL CARLOS MARIA DE ALVEAR;BOURDELLE, ANTONIO;PLAZA INTENDENTE ALVEAR;PLAZA INTENDENTE ALVEAR;DEL LIBERTADOR AV. 1400;DEL LIBERTADOR AV.;1400;RECOLETA;COMUNA 2;1112;C1112ABQ;-34.58475991;-58.39170453
1011;MONUMENTO;1;CEMENTO PATINADO Y GRANITO;HJE. A MARCELO T. DE ALVEAR;IRALA, GERSON ERIC;PLAZA INTENDENTE ALVEAR;PLAZA INTENDENTE ALVEAR;DEL LIBERTADOR AV. 1400;DEL LIBERTADOR AV.;1400;RECOLETA;COMUNA 2;1112;C1112ABQ;-34.58475991;-58.39170453
1013;MONUMENTO;1;BRONCE Y MARMOL;TORCUATO DE ALVEAR;LAUER;PLAZA INTENDENTE ALVEAR;PLAZA INTENDENTE ALVEAR;DEL LIBERTADOR AV. 1400;DEL LIBERTADOR AV.;1400;RECOLETA;COMUNA 2;1112;C1112ABQ;-34.58475991;-58.39170453
1031;MONUMENTO;1;HORMIGON ARMADO;GUARDACOSTAS;MIRWALD, ANDRES;AV DE LOS ITALIANOS Y A VILLAFL;AV DE LOS ITALIANOS Y A VILLAFLOR;DE LOS ITALIANOS AV. Y VILLAFLOR, AZUCENA;DE LOS ITALIANOS AV.;;PUERTO MADERO;COMUNA 1;;;-34.61147935;-58.35913945
1064;MONUMENTO;1;BRONCE Y MARMOL;DN. PEDRO DE MENDOZA;OLIVA NAVARRO, JUAN;PARQUE LEZAMA;PARQUE LEZAMA;PASEO COLON AV. 1503;PASEO COLON AV.;1503;BOCA;COMUNA 4;1063;C1063ADC;-34.62520922;-58.36797836
1095;MONUMENTO;1;MAMPOSTERIA Y BRONCE;HOMENAJE A LA CORDIALIDAD ARGENTINO - U;PENA, ARQ. ANTONIO;PARQUE LEZAMA;PARQUE LEZAMA;PASEO COLON AV. 1503;PASEO COLON AV.;1503;BOCA;COMUNA 4;1063;C1063ADC;-34.62520922;-58.36797836
1114;MONUMENTO;1;BRONCE Y GRANITO;JOSE GARIBALDI;MACAGNINI, EUGENIO;PLAZA ITALIA;PLAZA ITALIA;SARMIENTO AV. 4000;SARMIENTO AV.;4000;PALERMO;COMUNA 14;1425;C1425FHN;-34.56954355;-58.41126449
1128;MONUMENTO;1;MARMOL;OFRENDA FLORAL A SARMIENTO;PEYNOT, EMILIO EDMUNDO;ROSEDAL;ROSEDAL;ISABEL, INFANTA AV. 900;ISABEL, INFANTA AV.;900;PALERMO;COMUNA 14;1425;C1425CHA;-34.5700668;-58.42048287
1138;MONUMENTO;1;BRONCE Y MARMOL;LA CARTA MAGNA Y 4 REGIONES ARGENTINAS;QUEROL, AGUSTIN;AVDAS DEL LIBERTADOR Y SARMIENTO;AVDAS DEL LIBERTADOR Y SARMIENTO;DEL LIBERTADOR AV. Y SARMIENTO AV.;DEL LIBERTADOR AV.;;PALERMO;COMUNA 14;;;-34.57497741;-58.41540606
1140;MONUMENTO;1;MARMOL Y PIEDRA;HOMENAJE A LOS CAIDOS EL 6 DE SETIEMBRE;RIGANELLI, AGUSTIN;PLAZA JUAN XXIII;PLAZA JUAN XXIII;JUNIN 1849;JUNIN;1849;RECOLETA;COMUNA 2;1113;C1113AAU;-34.58787559;-58.39213027
1143;MONUMENTO;1;PIEDRA PARIS;JUANA DE ARCO EN LA HOGUERA;REAL DEL SARTE, M.;AVDAS SARMIENTO Y R OBLIGADO;AVDAS SARMIENTO Y R OBLIGADO;OBLIGADO RAFAEL, AV.COSTANERA Y SARMIENTO AV.;OBLIGADO RAFAEL, AV.COSTANERA;;PALERMO;COMUNA 14;;;-34.56791636;-58.40194257
1155;MONUMENTO;1;PIEDRA Y MARMOL;GRL. JUAN LAVALLE;COSTA, PEDRO;PLAZA LAVALLE;PLAZA LAVALLE;CORRIENTES AV. 1145;CORRIENTES AV.;1145;SAN NICOLAS;COMUNA 1;1043;C1043AAL;-34.60369423;-58.38292045
1177;MONUMENTO;1;BRONCE Y MARMOL;DN. HIPOLITO YRIGOYEN;FERRARI, PEDRO;PLAZA LAVALLE;PLAZA LAVALLE;CORRIENTES AV. 1145;CORRIENTES AV.;1145;SAN NICOLAS;COMUNA 1;1043;C1043AAL;-34.60369423;-58.38292045
1184;MONUMENTO;1;BRONCE;FLORENCIO SANCHEZ;RIGANELLI, AGUSTIN;PZTA ALFREDO RIVAS;PZTA ALFREDO RIVAS;CHICLANA AV. 2802;CHICLANA AV.;2802;SAN CRISTOBAL;COMUNA 3;1259;C1259AAN;-34.62762017;-58.403994
1194;MONUMENTO;1;BRONCE Y PIEDRA;DR.GUILLERMO RAWSON;ROCHA, HECTOR;PZTA REINO DE TAILANDIA;PZTA REINO DE TAILANDIA;AGOTE, LUIS DR. 2201;AGOTE, LUIS DR.;2201;RECOLETA;COMUNA 2;1425;C1425EOA;-34.58715651;-58.3974469
1216;MONUMENTO;1;BRONCE Y GRANITO;EL RESERO;SARNIGUET, EMILIO J. A.;PZTA EL RESERO;PZTA EL RESERO;DE LOS CORRALES AV. 6536;DE LOS CORRALES AV.;6536;MATADEROS;COMUNA 9;1440;C1440BBO;-34.66293657;-58.50040368
1221;MONUMENTO;1;RESINA SINTETICA;HJE. A JOSE HERNANDEZ;SAVIO, ENRIQUE LUIS;PZTA NUESTRA SE??ORA DE LOS BU;PZTA NUESTRA SEÑORA DE LOS BU;;;;;;;;;
1231;MONUMENTO;1;GRANITO Y BRONCE;ING. LUIS A. HUERGO;SFORZA, CESAR;PEDRO DE MENDOZA Y GABOTO;PEDRO DE MENDOZA Y GABOTO;;;;;;;;;
1244;MONUMENTO;1;BRONCE Y MARMOL;EMPERADOR ULPIO TRAJANO;;PLAZA LAVALLE;PLAZA LAVALLE;CORRIENTES AV. 1145;CORRIENTES AV.;1145;SAN NICOLAS;COMUNA 1;1043;C1043AAL;-34.60369423;-58.38292045
1248;MONUMENTO;1;BRONCE Y MAMPOSTERIA;ESTEBAN ECHEVERRIA;TASSO, TORCUATO;PZTA JUVENILIA;PZTA JUVENILIA;ALVEAR, MARCELO T. DE 600;ALVEAR, MARCELO T. DE;600;RETIRO;COMUNA 1;1058;C1058AAF;-34.59627232;-58.37530884
1257;MONUMENTO;1;BRONCE Y GRANITO;DR. ADOLFO ALSINA;MILLET, AIME;PLAZA LIBERTAD;PLAZA LIBERTAD;LIBERTAD 909;LIBERTAD;909;RETIRO;COMUNA 1;1012;C1012AAS;-34.59798117;-58.38410711
1283;MONUMENTO;1;HORMIGON ARMADO;VICTORIA;TUCKER, WILLIAM;PARQUE DE LA MEMORIA;PARQUE DE LA MEMORIA;OBLIGADO RAFAEL, AV.COSTANERA Y SARMIENTO AV.;OBLIGADO RAFAEL, AV.COSTANERA;;PALERMO;COMUNA 14;;;-34.56791636;-58.40194257
1288;MONUMENTO;1;PIEDRA Y BRONCE;MARIANO MORENO;BLAY Y FABREGAS, M.;PLAZA MARIANO MORENO;PLAZA MARIANO MORENO;DE MAYO AV. 1500;DE MAYO AV.;1500;MONSERRAT;COMUNA 1;1085;C1085ABR;-34.60949143;-58.38673113
